id,lat,long,Coord,Place,State,City,Centroid Index,Centroid Lat,Centroid Long
0,41.8437058,-73.3292848,Latitude : 41.8437058 Longitude : -73.3292848,Dudleytown,CT,Cornwell,4,41.3997709768134,-73.1988419508699
1,41.5335257,-73.2064158,Latitude : 41.5335257 Longitude : -73.2064158,Curtis House,CT,Woodbury,4,41.3997709768134,-73.1988419508699
2,41.401021,-73.2851937,Latitude : 41.401021 Longitude : -73.2851937,Fairfield Hills State Hospital,CT,Newton,4,41.3997709768134,-73.1988419508699
3,41.5407091,-73.0890935,Latitude : 41.5407091 Longitude : -73.0890935,Little Peoples Village,CT,Middlebury,4,41.3997709768134,-73.1988419508699
4,41.186341,-73.172713,Latitude : 41.186341 Longitude : -73.172713,Remington Arms Munitions Factory,CT,Bridgeport,4,41.3997709768134,-73.1988419508699
5,41.0843736,-73.5786036,Latitude : 41.0843736 Longitude : -73.5786036,Fort Stamford,CT,Stamford,4,41.3997709768134,-73.1988419508699
6,41.273016,-73.297721,Latitude : 41.273016 Longitude : -73.297721,Union Cemetery,CT,Easton,4,41.3997709768134,-73.1988419508699
7,41.1824094,-73.1907184,Latitude : 41.1824094 Longitude : -73.1907184,Palace & Majestic Theaters,CT,Bridgeport,4,41.3997709768134,-73.1988419508699
8,41.32739,-73.091633,Latitude : 41.32739 Longitude : -73.091633,Sterling Opera House,CT,Derby,4,41.3997709768134,-73.1988419508699
9,41.6234491,-72.7443492,Latitude : 41.6234491 Longitude : -72.7443492,Meeting House Square,CT,Hartford,4,41.3997709768134,-73.1988419508699
